title,article_text,summary,article_date,source
"2 miyembro ng 'basag-kotse' na nambiktima sa aktres na si Patricia Javier, nakalusot sa police ops","Sinalakay ng mga awtoridad ang sinasabing lugar ng mga sangkot umano sa pagnanakaw ng mga motorsiklo at ""basag-kotse gang"" sa Antipolo City, Rizal na kinabibilangan ng mga nambiktima sa aktres na si Patricia Javier.    Sa ulat ni Emil Sumangil sa GMA News ""Balitanghali"" nitong Martes, sinabing ni-raid ng pinagsanib-puwersa ng Antipolo Police at PNP Highway Patrol Group ang Sitio Imbornal na sakop ng Barangay Mayamot sa Antipolo, at kasama rin ang SWAT at Public Safety Battalion.  Base sa impormasyon na natanggap umano ng pulisya, nasa lugar ang mga sangkot umano sa motorcycle theft at ang miyembro ng basag-kotse gang na kinabibilangan ng nambiktima kay Patricia noong nakaraang linggo.  ""Si alyas 'Eric Bernal,' at si alyas 'Dagul,' dalawa ito na involved sa basag kotse,"" sabi ni C/Insp. Robert Santos, Deputy Chief of Police, Antipolo.  Gayunman, bigo ang mga awtoridad na madakip ang dalawa sa naturang operasyon.  Sa CCTV video na nakuha ng Antipolo Police, nakunan umano ang dalawa nang tangayin ang bag ng aktres matapos basagin ang salamin ng bintina ng sasakyan.  Sa video, una umanong lumapit si alyas Dagul sa parking lot kung saan nakaparada ang sasakyan ng aktres.  Hindi nakita ang aktuwal na pagbasag sa sasakyan ng aktres, ngunit matapos ang ilang minuto, dumating si alyas Bernal na nakasakay sa nakamotorsiklo at isinakay si Dagul na bitbit na ang bag ng aktres.  Patuloy ang operasyon ng mga awtoridad para mahanap ang dalawa.  Nagpaalala ang mga awtoridad na huwag nang mag-iwan ng mga mahahalagang gamit sa loob ng sasakyan.--"," Sinalakay ng mga awtoridad ang sinasabing lugar ng mga sangkot umano sa pagnanakaw ng mga motorsiklo at ""basag-kotse gang"" sa Antipolo City, Rizal na kinabibilangan ng mga nambiktima sa aktres na si Patricia Javier.","Hulyo 10, 2018 6:37pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659909/2-miyembro-ng-basag-kotse-na-nambiktima-sa-aktres-na-si-patricia-javier-nakalusot-sa-police-ops/story/
"Martial law, 'di idedeklara dahil sa insidente ng pagpatay sa ilang lokal na opisyal— Palasyo","Pinawi ng Malacañang ang mga pangamba na baka gamiting basehan ni Pangulong Rodrigo Duterte ang sunod-sunod na pagpatay sa ilang lokal na opisyal para ideklara ang batas militar sa buong bansa.  Ang pahayag ay ginawa ni presidential spokesperson Harry Roque sa press conference nitong Lunes, para pasinungalingan ang hinala ng oposisyon sa pangunguna ni Senador Francis Pangilinan, presidente ng Liberal Party, na maaaring planado ang pagpatay sa mga lokal na opisyal para makalikha ng ""atmosphere of lawlessness to justify a strongman rule.""  Sa nakalipas lang na isang linggo, tatlong lokal na opisyal ang pinaslang— sina Mayor Antonio Halili ng Tanauan City, Batangas; Mayor Ferdinand Bote ng General Tinio, Nueva Ecija; at Vice Mayor Alexander Lubigan ng Trece Martires, Cavite.  ""Senator Pangilinan is a lawyer himself. He should know that even if there is lawlessness there cannot be a nationwide imposition of martial law,"" sabi ni Roque.  ""Kahit ilan pa yang patayan na iyan, kung walang rebelyon at walang pananakop, wala pong dahilan para magkaroon ng martial law sa buong Pilipinas,"" sabi pa niya.  Sa ilalim ng 1987 Constitution, may kapangyarihan ang Pangulo na magdeklara ng martial law kapag nasa panganib ang kaligtasan ng publiko sa panahon ng pananakop o rebelyon.  Ang rebelyon at banta ng extremist groups ang ginamit na basehan ni Duterte para ideklara ang batas militar sa Mindanao noong nakaraang taon na umiiral pa rin ngayon.  Ayon kay Roque, may iba't ibang anggulo ang tinitingnan ng mga awtoridad sa mga nangyaring pagpatay sa mga lokal na opisyal.  ""There is no system behind the killings, but the common obligation of the state is to accord justice and, of course, the domestic remedy to all victims of these killings,"" sabi ng opisyal.  Maging sina Senate President Vicente Sotto III at ang pinalitan niyang lider ng Senado na si Senador Aquilino ""Koko"" Pimentel III,  hindi rin naniniwala na gagamitin ni Duterte na basehan ang karahasan sa mga lokal na opisyal para sa pagdedeklara ng martial law.  ""I don't think so. The atmosphere doesn't call for it,"" ani Sotto. ""Hindi naman bago ang maraming away sa local. Matagal na 'yan, even during and after martial law talagang mainit ang local politics sa atin.""  Ayon naman kay Pimentel, hindi umano papayagan ni Duterte na may isasakripisyong buhay para lang sa martial law.  ""No way that lives will be sacrificed just so the president can impose martial law nationwide. Hindi po tayo ganyan at hindi rin ganyan ang presidente po natin,"" giit ng senador, na nais na magkaroon ng mas mahigpit na kampanya laban sa mga hindi lisensiyadong armas.  ""Itong mga smuggled na magagandang kotse sinisira natin, eh di yung mga confiscated na mga baril sirain din natin hindi sa pine-preserve at nire-recycle lang po,"" mungkahi niya. —", Pinawi ng Malacañang ang mga pangamba na baka gamiting basehan ni Pangulong Rodrigo Duterte ang sunod-sunod na pagpatay sa ilang lokal na opisyal para ideklara ang batas militar sa buong bansa.,"Hulyo 9, 2018 4:57pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659738/martial-law-di-idedeklara-dahil-sa-insidente-ng-pagpatay-sa-ilang-lokal-na-opisyal-palasyo/story/
"Mga kumakain ng balut, inararo ng pick-up truck; 1 patay","Isang lalaking kumakain ng balut ang namatay habang limang iba pa ang sugatan matapos silang araruhin ng isang pick-up truck sa Zamboanga City, ayon sa ulat ni Bam Alegre sa Balitanghali nitong Martes.  Kinilala ang driver ng pick-up truck na si Abdel Asis Alfad, na agad namang nahuli ng mga pulis at ngayo'y nahaharap sa reklamong imprudence resulting in homicide and serious physical injuries.  Ayon sa ulat, nag-stopover ang biktimang si Mac Jasyon Astillero, kasama ang ilan pang kabataan, sa gilid ng kalsada para kumain ng balut nang araruhin sila ng humaharurot na pick-up truck.  Nawasak ang harapang bahagi ng sasakyan habang nagkapira-piraso rin ang mga upuan at nagkalat ang basag na bote.  ""Meron tayong victims na anim. Six victims and one of them died instantly. Then, two of them from this place na seriously injured,"" ani Barangay Chairman Hamid Rojas.  Sa ngayon, nagpapagaling pa sa ospital ang mga sugatan.  Nagulat na lang ang tiyahin ni Astillero na si Lucy Montilla nang malaman ang balita.  ""Naubusan na siya ng dugo. Tagal man siya na... kuwan, ng doktor. Naubusan na siya ng dugo,"" ani Montilla.  Depensa ng driver, nawalan ng preno ang minamaneho niyang truck."," Isang lalaking kumakain ng balut ang namatay habang limang iba pa ang sugatan matapos silang araruhin ng isang pick-up truck sa Zamboanga City, ayon sa ulat ni Bam Alegre sa Balitanghali nitong Martes.","Hulyo 10, 2018 1:55pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659845/mga-kumakain-ng-balut-inararo-ng-pick-up-truck-1-patay/story/
"2 lalaki na dumayo sa bahay ng kaibigan, patay sa pamamaril","Dalawang lalaki na dumayo lang sa Malabon City ang nasawi matapos silang pagbabarilin sa loob ng bahay ng kanilang kaibigan habang nag-iinuman.    Sa ulat ng GMA News TV ""QRT"" nitong Lunes, sinabi ng mga awtoridad na kaagad na nasawi sa tama ng bala ang mga biktimang sina Khan Cyrell Ignacio, 18-anyos at kaibigan niyang si Jobert Cabigo,  29-anyos.  Sa imbestigasyon, nakikipag-inuman sa loob ng bahay ang mga biktima kasama ang dalawa pang kaibigan sa Barangay Tinajeros nang  dumating ang mga salarin na sakay ng motorsiklo at bigla na lang silang pinagbabaril.  Kaagad na nasawi sina Ignacio at Cabigo, habang nakapagtago naman ang dalawa nilang kasama kaya nakaligtas.  Ang kaibigan nilang babae na may-ari ng bahay, nasa banyo nang maganap ang pamamaril kaya hindi rin nadamay.  Ayon sa mga saksi, dalawang lalaki at isang babaeng sakay ng motorsiklo ang mga suspek.  Nakunan sa CCTV ng barangay ang pagdaan ng mga suspek sa isang kalsada habang sakay ng motorsiklo. Hindi pa malinaw kung bago o matapos ang krimen nang makunan ng video ang mga suspek.  Palaisipan sa mga pamilya nina Ignacio at Cabigo ang motibo sa ginagawang pagpaslang sa dalawa. Wala umano silang alam na kinasangkutang gulo o ilegal na gawain ng mga ito.  Patuloy ang imbestigasyon ng mga awtoridad para matukoy ang pagkakakilanlan ng mga salarin.--", Dalawang lalaki na dumayo lang sa Malabon City ang nasawi matapos silang pagbabarilin sa loob ng bahay ng kanilang kaibigan habang nag-iinuman.,"Hulyo 9, 2018 7:52pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659769/2-lalaki-na-dumayo-sa-bahay-ng-kaibigan-patay-sa-pamamaril/story/
"Ama ng batang iniwan sa loob ng SUV, itinangging nag-iinuman silang mag-asawa nang sandaling iyon","Itinanggi ng ama ng batang makikita sa viral video post na iniwan sa loob ng isang nakaparadang SUV na nag-iinuman silang mag-asawa nang mga sandaling iyon.  Bagama't tumangging humarap sa kamera, isinalaysay ng ama sa GMA News ang mga pangyayari noong gabing iyon sa isang sikat na gimikan sa Ortigas.  Aniya, mag-aalas dos daw nang madaling araw nang dumating sila sa gimikan at tulog noon ang bata. Nagma-manage ng restaurant ang mag-asawa sa lugar at iniwan na muna ang bata sa sasakyan.  Dumating daw ang guard at sinabing gising na ang bata kaya agad itong pinuntahan ng asawa niya. Dinala ang bata sa restaurant ngunit inantok ulit ito matapos ang ilang oras.  ""So nung time na 'yun, nakaupo kami doon, nagkukwentuhan kami ni mam, siguro mga five minutes maya-maya dumating 'yung guard. Sabi niya gising 'yung bata,"" aniya.  Bago mag-alas kuwatro raw nang dinala ulit sa sasakyan ang bata para makatulog. Iniwan daw muna ito ng nanay dahil kakain ito saglit. Siniguro rin nila na may awang sa bintana ng SUV.  Sa ikalawang beses ay dumating ang guard at sinabing gising daw ang bata at umiiyak. Mayroon din daw isang lalaki na nagwawala sa gilid ng SUV.  Itinanggi rin ng ama ng bata na ilang oras na naiwan ang bata sa loob ng sasakyan gaya ng nakasaad sa viral na Facebook post.  ""Maya-maya 'andyan na naman 'yung guwardya. Sabi nung guwardya gising daw 'yung bata tapos may nagwawala na raw dun. Napi-picturan daw 'yung bata kasi nga matagal na raw dun pero sandaling-sandali lang 'yun,"" anang ama ng bata.", Itinanggi ng ama ng batang makikita sa viral video post na iniwan sa loob ng isang nakaparadang SUV na nag-iinuman silang mag-asawa nang mga sandaling iyon.,"Hulyo 10, 2018 9:18am GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659820/ama-ng-batang-iniwan-sa-loob-ng-suv-itinangging-nag-iinuman-silang-mag-asawa-nang-sandaling-iyon/story/
"Lalaking nahulog mula sa Ferris wheel, patay","Patay ang isang lalaki matapos siyang mahulog mula sa tuktok ng Giant Star Wheel Ride ng Star City sa lungsod ng Pasay nitong Linggo ng gabi.    ""Nobody actually saw the person come from the giant wheel pero he was identified by our ride attendant na sumakay rin. Ni-rush namin sa ospital pero dead on arrival,"" sabi ni Attorney Rudolph Juralbal, tagapagsalita ng Star City, sa ulat ni Cedric Castillo sa GMA News ""24 Oras"" nitong Lunes.  Ayon sa ulat, nakilala na ang biktima dahil sa company ID na nakuha mula sa kanya. Nakipag-ugnayan na raw ang pamilya ng biktima sa pamunuan ng Star City at sa pulisya.  Nagbigay na rin daw ng tulong pinansiyal ang amusement park sa mga naulila ng lalaki.  Sa imbestigasyon ng Pasay police, napag-alaman na baklas ang parisukat na acrylic panel sa isang bahagi ng gondola number 23 ng nasabing Ferris wheel na may taas na 60 metro.  Posible umanong nagpumilit lumabas mula sa gondola ang biktima dahil ang kalapit raw na panel nito ay may crack at bahagyang nakausli ang basag na bahagi.  Bahagya rin umanong nakaunat ang grills ng bintana.  ""Nakita ng mga probers natin na 'yung gondola may dalawang screen sa taas, sa baba parang may salamin. 'Yun yung binaklas, probably doon tumalon... talagang pinuwersang buksan and according doon sa mga ride attendants, nagsosolo lang itong biktima,"" sabi ni Police Senior Superintendent Noel Flores, hepe ng Pasay police.  Dahil sa insidente, suspendido ang operasyon ng nasabing Ferris wheel.  Sa kabila nito, nanindigan pa rin ang pamunuan ng Star City na pasado sa international safety standards ang nasabing ride.  ""The ride has been purchased from Japan. Every year, in fact twice a year, the ride is inspected by a safety inspector from California. Even the gondolas are very safe in the sense na mahirap lumabas diyan,"" sabi ni Juralbal.  Dagdag ni Juralbal, pag-aaralan nila kung may dapat bang baguhin sa disenyo nito.  ""Every time you make modifications on its design it can render the ride by its modification unsafe also... So we have to consult our safety engineers and consultants on what modifications, if any, can be done,"" sabi ni Juralbal. —", Patay ang isang lalaki matapos siyang mahulog mula sa tuktok ng Giant Star Wheel Ride ng Star City sa lungsod ng Pasay nitong Linggo ng gabi.,"Hulyo 9, 2018 8:58pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659778/lalaking-nahulog-mula-sa-ferris-wheel-patay/story/
"Tulak umano ng marijuana at 2 kasabwat na estudyante, huli sa buy-bust op sa QC","Arestado ang tulak umano ng marijuana at dalawang kasabwat na estudyante sa ikinasang buy-bust operation sa Aurora Blvd. sa Cubao, Quezon City, nitong Lunes ng gabi.  Ayon sa pulisya, online nagsimula ang transaksyon kung saan bumili ang operatiba ng Station Drug Enforcement Unit ng marijuana sa target na si Mark Joseph Hernandez.  Nakipagkita si Hernandez sa operatiba sa harapan ng convenience store at doon umano nagkaabutan ng item at perang nagkakahalaga ng P500.  Inaresto rin ang dalawang estudyante na kasamahan ni Hernandez kabilang na ang 16-anyos na high school student at isang nagngangalang Jerome Casquejo.  Nakuha sa kanila ang 250 gramo ng hinihinalang marijuana na may street value na P30,000  Ayon sa mga pulis, karamihan sa mga parokyano ng mga suspek ay mga estudyante.  Online daw ang transaksyon nila sa paniniwalang mas ligtas sila doon.  Aminado ang mga suspek na gumagamit ng marijuana pero hindi raw sila nagtutulak.  Mahaharap ang mga suspek sa kasong paglabag sa Comprehensive Dangerous Drugs Act of 2002. —"," Arestado ang tulak umano ng marijuana at dalawang kasabwat na estudyante sa ikinasang buy-bust operation sa Aurora Blvd. sa Cubao, Quezon City, nitong Lunes ng gabi.","Hulyo 10, 2018 8:06am GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659814/tulak-umano-ng-marijuana-at-2-kasabwat-na-estudyante-huli-sa-buy-bust-op-sa-qc/story/
"Lalaking nasiko sa siksikang bus, napikon at nanutok daw ng baril sa Bulacan","Hindi napigilan ng isang lalaki ang kaniyang galit nang tutukan niya umano ng baril ang isa pang pasahero na nakasiko sa kaniya sa siksikang bus sa Malolos, Bulacan.  Sa Unang Balita nitong Martes, makikita sa kuha ng isang YouScooper na takot na takot ang isang lalaking nakaitim at nakaupo sa damuhan habang kinokompronta siya ng lalaking naka-gray t-shirt at may hawak na baril.  Bago nito, sinabing nagkapikunan ang dalawa matapos ang pagkakasiko ng lalaking nakaitim sa lalaking may baril habang siksikan sa bus.  Huminto lang ang komprontasyon nang umawat na ang konduktor ng bus.  Bumalik sa sasakyan ang lalaking may baril, habang hindi na sumakay ang pasaherong kaniyang kinompronta."," Hindi napigilan ng isang lalaki ang kaniyang galit nang tutukan niya umano ng baril ang isa pang pasahero na nakasiko sa kaniya sa siksikang bus sa Malolos, Bulacan.","Hulyo 10, 2018 11:59am GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659840/lalaking-nasiko-sa-siksikang-bus-napikon-at-nanutok-daw-ng-baril-sa-bulacan/story/
"2 miyembro umano 'basag-kotse' na nambiktima ng TNVS driver, napatay ng mga pulis","Patay ang riding-in-tandem na nambasag umano ng kotse ng isang TNVS driver matapos na manlaban daw sa mga awtoridad sa Quezon City.    Sa ulat ni Victoria Tulad sa GMA News ""Balitanghali"" nitong Martes, sinabing nangyari ang insidente sa Brgy. Old Balara pasado hatinggabi, habang naghihintay ng pasahero ang Grab driver sa Capitol Hills.  ""Akala ko talaga iihi lang siya kasi madilim 'yung area. Hindi niya yata napansin na may tao sa loob. Tapos nagulat na lang ako nu'ng biglang kumalabog na 'yung sa likod nu'ng sasakyan ko. Tapo sinigawan ko sila, 'yun kumaripas na sila ng takbo,"" sabi ng driver.  Tiyempo namang kumakain sa malapit na convenience store ang isang pulis na rumesponde sa kaguluhan.  ""Nu'ng nagpakilala po ako na pulis 'yung isa po 'yung nasa likod 'yung bumaba, 'yun po ang bumaril sakin,"" sabi ni PO2 Rino Agader.  Nagawa pa ring makatakas ang dalawa ngunit nahabol sila at binaril ng mga pulis na nagsasagawa ng Oplan Sita sa lugar.  Dalawang baril na kalibre .38, limang sachet ng hinihinalang shabu at mga drug paraphernalia ang nakuha umano sa mga suspek na hindi pa tukoy ang pagkakakilanlan.  Sinabi ni C/Supt. Joselito Esquivel, District Director ng QCPD, na ilang insidente na ng basag kotse ang nangyari sa Quezon City, kung saan nakahuli sila kamakailan ng anim na suspek, na kinabibilangan ng dalawang babae.  ""May kaniya-kaniya silang MO [modus operandi]. 'Yung iba may kasamang babae akala mo lang na tatayo-tayo sa may kotse mo, parang nagme-makeup o nagsusuklay, pero actually vine-verify 'yung sasakyan mo kung meron kang naiwan,"" sabi ni Esquivel.  Nagpaalala ang mga pulis na huwag magpa-park sa madilim na lugar.  Iwasan ding mag-iwan ng mga gamit sa sasakyan, tulad ng mga wallet, cellphone at laptop.  Siguraduhin ding naka-lock ang kotse at palagyan rin ito ng alarm.  Kamakailan, nabiktima ng basag-kotse ang aktres na si Patricia Javier. --", Patay ang riding-in-tandem na nambasag umano ng kotse ng isang TNVS driver matapos na manlaban daw sa mga awtoridad sa Quezon City.,"Hulyo 10, 2018 7:09pm GMT+08:00",https://www.gmanetwork.com/news/balitambayan/balita/659919/2-miyembro-umano-basag-kotse-na-nambiktima-ng-tnvs-driver-napatay-ng-mga-pulis/story/
